Месяц выдачи кредита;Сумма кредита;Срок кредита;Возраст клиента;Пол клиента;Образование клиента;Тип товара;Наличие детей у клиента;Регион выдачи кредита;Доход клиента;Семейное положение;Оператор связи;Является ли клиентом банка;Флаг дефолта по кредиту
1;35500;12;30;Мужской;Высшее;Мобильные телефоны;Детей нет;Москва или МО;51000;Другое;Билайн;Клиент банка;Нет дефолта
1;17500;10;36;Женский;Среднее специальное;Мобильные телефоны;Дети есть;Другие регионы;31000;Другое;МТС;Не клиент банка;Дефолт
1;10500;10;22;Женский;Среднее специальное;Компьютеры, комплектующие;Детей нет;Другие регионы;21000;Другое;Билайн;Клиент банка;Нет дефолта
2;16000;6;21;Женский;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;21000;Женат/замужем;Мегафон;Не клиент банка;Нет дефолта
2;8500;6;53;Женский;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;36000;Женат/замужем;Билайн;Не клиент банка;Нет дефолта
2;14500;4;29;Мужской;Среднее специальное;Компьютеры, комплектующие;Дети есть;Другие регионы;9000;Женат/замужем;Мегафон;Не клиент банка;Нет дефолта
2;31000;10;64;Мужской;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;10000;Другое;Мегафон;Клиент банка;Нет дефолта
2;13500;6;64;Мужской;Среднее специальное;Строительные материалы и инструменты;Дети есть;Другие регионы;13000;Другое;Мегафон;Клиент банка;Нет дефолта
2;15000;12;32;Мужской;Среднее специальное;Бытовая техника;Дети есть;Другие регионы;21000;Другое;Теле2;Клиент банка;Нет дефолта
2;9500;6;31;Женский;Среднее;Мобильные телефоны;Дети есть;Другие регионы;14000;Другое;МТС;Клиент банка;Нет дефолта
2;35500;12;23;Женский;Высшее;Фитнес;Детей нет;Москва или МО;41000;Другое;Мегафон;Клиент банка;Нет дефолта
2;11000;6;40;Мужской;Высшее;Мебель;Дети есть;Другие регионы;26000;Другое;Мегафон;Клиент банка;Нет дефолта
2;34000;12;36;Мужской;Высшее;Мобильные телефоны;Дети есть;Другие регионы;24000;Другое;Мегафон;Клиент банка;Дефолт
2;11000;3;29;Женский;Среднее специальное;Мебель;Детей нет;Санкт-Петербург или ЛО;31000;Другое;Мегафон;Клиент банка;Нет дефолта
2;20500;5;29;Мужской;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;26000;Другое;Мегафон;Не клиент банка;Нет дефолта
2;9000;5;76;Мужской;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;19000;Другое;МТС;Клиент банка;Нет дефолта
2;20000;15;27;Мужской;Высшее;Мобильные телефоны;Детей нет;Другие регионы;31000;Другое;Мегафон;Клиент банка;Нет дефолта
2;57000;24;23;Мужской;Высшее;Бытовая техника;Детей нет;Другие регионы;46000;Женат/замужем;Билайн;Клиент банка;Нет дефолта
2;38000;18;22;Мужской;Среднее специальное;Мебель;Дети есть;Другие регионы;16000;Другое;Теле2;Клиент банка;Нет дефолта
